player_id,g,ab,r,h,x2b,x3b,hr,rbi,sb,cs,bb,so,last_year
youklke01,1061,3749,653,1053,254,18,150,618,26,14,539,828,2013
youngch03,257,207,10,31,6,1,1,17,0,0,10,82,2016
youngch04,1319,4354,621,1033,274,21,178,552,137,44,479,1100,2016
youngde03,1118,4108,473,1162,218,11,109,566,36,21,179,784,2015
youngdm01,1364,4762,648,1389,301,29,171,683,25,22,407,871,2008
younger01,1730,6119,996,1731,327,46,79,543,465,168,660,462,2006
younger02,288,796,108,179,33,4,27,90,10,11,90,213,2004
youngke01,1205,3897,536,1007,235,17,144,606,83,49,336,882,2003
youngmi02,1970,7918,1137,2375,441,60,185,1030,90,30,575,1235,2013
zambrca01,384,693,75,165,26,3,24,71,1,0,10,240,2012
zaungr01,1232,3489,437,878,194,9,88,446,23,19,479,544,2010
zeileto01,2158,7573,986,2004,397,23,253,1110,53,51,945,1279,2004
zimmery01,1408,5416,793,1505,338,20,215,829,41,15,539,1087,2016
zitoba01,434,344,12,35,0,0,0,11,0,0,18,99,2015
zobribe01,1337,4840,735,1287,296,38,145,643,111,43,700,839,2016
